name,party,chamber,state,bioguide
Josh Gottheimer,Democratic,House,NJ,G000583
Nancy Pelosi,Democratic,House,CA,P000197
Kevin Hern,Republican,House,OK,H001082
Mark Green,Republican,House,TN,G000590
Bradley S. Schneider,Democratic,House,IL,S001190
Virginia Foxx,Republican,House,NC,F000450
Kim Schrier,Democratic,House,WA,S001216
Mikie Sherrill,Democratic,House,NJ,S001207
Daniel Meuser,Republican,House,PA,M001204
Susie Lee,Democratic,House,NV,L000590
John W. Rose,Republican,House,TN,R000612
Brian Mast,Republican,House,FL,M001199
Carol Devine Miller,Republican,House,WV,M001205
Michael C. Burgess,Republican,House,TX,B001248
Pete Sessions,Republican,House,TX,S000250
Lois Frankel,Democratic,House,FL,F000462
Earl Blumenauer,Democratic,House,OR,B000574
Michael Garcia,Republican,House,CA,G000061
Donald Sternoff Beyer Jr,Democratic,House,VI,B001292
Debbie Dingell,Democratic,House,MI,D000624
